Texte;Label enrichi;Norme / Référence
Les accès des prestataires sont désactivés mais sans validation documentaire.;Partiellement conforme – Processus incomplet;ISO 27001 A.9.2.6
Les logs d’accès sont produits mais non centralisés.;Partiellement conforme – Contrôle partiel;ISO 27001 A.12.4.1
Chaque accès est validé par deux niveaux d’approbation avant activation.;Conforme – Gouvernance renforcée;ISO 27001 A.9.2.1 / SOX 404
Les comptes administrateurs sont limités en nombre et surveillés en continu.;Conforme – Contrôle permanent;ISO 27001 A.9.2.3 / NIST AC-6
Les droits d’accès sont automatiquement retirés à la date de fin de contrat.;Conforme – Processus automatisé;ISO 27001 A.9.2.6
Un rapport de conformité des droits est transmis chaque trimestre au comité sécurité.;Conforme – Suivi périodique;ISO 27001 A.9.2.5
Les identifiants par défaut sont remplacés par des mots de passe robustes dès l’installation.;Conforme – Bonnes pratiques;ISO 27001 A.9.2.4
Les comptes inactifs sont désactivés automatiquement après 60 jours.;Conforme – Mesure préventive;ISO 27001 A.9.2.6
Les revues de droits incluent les prestataires et les comptes techniques.;Conforme – Gouvernance étendue;ISO 27001 A.9.2.5
Les sessions à privilèges nécessitent une authentification forte (MFA).;Conforme – Contrôle de sécurité;ISO 27001 A.9.4.2
Tous les accès critiques sont consignés dans un SIEM centralisé.;Conforme – Traçabilité complète;ISO 27001 A.12.4.1
Les droits métiers sont gérés via des rôles préconfigurés (RBAC).;Conforme – Gouvernance des rôles;ISO 27001 A.9.1.2
Les demandes d’accès sont enregistrées et validées par un workflow électronique.;Conforme – Traçabilité numérique;ISO 27001 A.9.2.1
Les comptes génériques ont été remplacés par des comptes individuels.;Conforme – Responsabilité individuelle;ISO 27001 A.9.2.3
Les accès temporaires sont désactivés automatiquement à échéance.;Conforme – Processus maîtrisé;ISO 27001 A.9.2.6
Un suivi quotidien des droits admin est assuré par l’équipe sécurité.;Conforme – Contrôle rapproché;ISO 27001 A.9.2.5
Les prestataires reçoivent des accès temporaires validés par contrat.;Conforme – Gestion des tiers;ISO 27001 A.9.2.6
Les logs d’accès sont corrélés avec les événements de sécurité.;Conforme – Suivi avancé;ISO 27001 A.12.4.1
Un double facteur est obligatoire pour les connexions aux systèmes critiques.;Conforme – Authentification renforcée;ISO 27001 A.9.4.2
Les droits des utilisateurs sont adaptés automatiquement en cas de mobilité interne.;Conforme – Gouvernance RH;ISO 27001 A.9.2.5
La ségrégation des tâches est vérifiée lors de chaque déploiement applicatif.;Conforme – Contrôle préventif;ISO 27001 A.6.1.2
Les comptes de test sont créés avec accès limités et supprimés après usage.;Conforme – Contrôle compensatoire;ISO 27001 A.9.2.6
Les comptes admin partagent un mot de passe unique.;Non conforme – Absence de responsabilité;ISO 27001 A.9.2.3
Les droits à privilèges sont accordés sans justification documentée.;Non conforme – Excès de privilèges;ISO 27001 A.9.1.2
Aucun suivi n’est effectué sur les comptes inactifs.;Non conforme – Contrôle absent;ISO 27001 A.9.2.6
Les recertifications d’accès n’ont pas eu lieu depuis plus de 2 ans.;Non conforme – Absence de revue;ISO 27001 A.9.2.5
Les sessions utilisateurs restent actives indéfiniment.;Non conforme – Absence de paramétrage;ISO 27001 A.9.4.2
Les identifiants par défaut des bases de données n’ont pas été modifiés.;Non conforme – Vulnérabilité connue;ISO 27001 A.9.2.4
Aucun mécanisme de verrouillage après tentatives échouées.;Non conforme – Risque de brute force;ISO 27001 A.9.4.3 / NIST AC-7
Les comptes techniques sont utilisés par plusieurs équipes sans suivi.;Non conforme – Gouvernance absente;ISO 27001 A.9.2.3
Aucun registre des habilitations n’est tenu à jour.;Non conforme – Absence de traçabilité;ISO 27001 A.9.2.6
Les prestataires conservent leurs accès après fin de contrat.;Non conforme – Risque tiers;ISO 27001 A.9.2.6
Les utilisateurs métiers possèdent des droits admin par défaut.;Non conforme – Excès de privilèges;ISO 27001 A.9.1.2
Les comptes d’urgence sont activés sans approbation préalable.;Non conforme – Processus absent;ISO 27001 A.9.2.6
Les logs d’accès ne sont ni centralisés ni revus.;Non conforme – Absence de contrôle;ISO 27001 A.12.4.1
Aucun changement de mot de passe n’est imposé.;Non conforme – Politique inexistante;ISO 27001 A.9.4.3
Les comptes admin sont utilisés régulièrement à des fins non tracées.;Non conforme – Risque de compromission;ISO 27001 A.9.2.3
Aucun audit interne n’est effectué sur les droits d’accès.;Non conforme – Absence de gouvernance;ISO 27001 A.18.2.3
Les sessions à privilèges ne nécessitent pas de MFA.;Non conforme – Authentification faible;ISO 27001 A.9.4.2
Les mots de passe sont stockés en clair dans un fichier partagé.;Non conforme – Failles critiques;ISO 27001 A.10.1
Les comptes de test sont utilisés en production avec droits élevés.;Non conforme – Risque majeur;ISO 27001 A.9.2.6
Aucun suivi des prestataires externes n’est effectué.;Non conforme – Absence de gouvernance;ISO 27001 A.9.2.6
Les accès VPN sont accordés sans MFA.;Non conforme – Contrôle absent;ISO 27001 A.9.4.2
Les recertifications portent uniquement sur une partie des applications.;Partiellement conforme – Couverture limitée;ISO 27001 A.9.2.5
Les comptes inactifs sont désactivés après 180 jours.;Partiellement conforme – Paramétrage laxiste;ISO 27001 A.9.2.6
Les demandes d’accès sont validées mais pas toujours documentées.;Partiellement conforme – Processus incomplet;ISO 27001 A.9.2.1
Les mots de passe sont robustes mais changés une fois par an.;Partiellement conforme – Politique faible;ISO 27001 A.9.4.3
Les sessions expirent après 40 minutes au lieu de 15.;Partiellement conforme – Paramétrage permissif;ISO 27001 A.9.4.2
Les comptes techniques sont documentés mais non restreints.;Partiellement conforme – Gouvernance incomplète;ISO 27001 A.9.2.3
Les logs d’accès sont produits mais non exploités régulièrement.;Partiellement conforme – Suivi insuffisant;ISO 27001 A.12.4.1
Les prestataires sont désactivés mais parfois avec plusieurs jours de délai.;Partiellement conforme – Processus imparfait;ISO 27001 A.9.2.6
La MFA est exigée pour les admins mais pas pour les métiers.;Partiellement conforme – Sécurité restreinte;ISO 27001 A.9.4.2
Les droits des utilisateurs sont revus mais sans validation hiérarchique systématique.;Partiellement conforme – Gouvernance partielle;ISO 27001 A.9.2.5
Les comptes d’urgence sont supprimés mais parfois après plusieurs jours.;Partiellement conforme – Révocation tardive;ISO 27001 A.9.2.6
Les demandes d’accès sont saisies mais non toujours validées.;Partiellement conforme – Contrôle incomplet;ISO 27001 A.9.2.1
Les mots de passe sont hachés mais sans sel unique.;Partiellement conforme – Stockage affaibli;ISO 27001 A.10.1
Les revues d’accès sont faites annuellement mais sans suivi correctif.;Partiellement conforme – Gouvernance incomplète;ISO 27001 A.9.2.5
Les comptes inactifs sont repérés mais désactivés manuellement.;Partiellement conforme – Procédure lente;ISO 27001 A.9.2.6
Les logs d’accès sont conservés mais uniquement utilisés en cas d’incident.;Partiellement conforme – Contrôle réactif;ISO 27001 A.12.4.1
Un contrôle trimestriel des accès VPN est validé par l’équipe sécurité.;Conforme – Gouvernance périodique;ISO 27001 A.9.2.5 / NIST AC-2 j
Les droits métiers sont attribués uniquement via un modèle de rôles.;Conforme – RBAC appliqué;ISO 27001 A.9.1.2
Les comptes temporaires sont suivis par un registre central et expirent automatiquement.;Conforme – Gouvernance efficace;ISO 27001 A.9.2.6
Les prestataires reçoivent des accès temporaires limités dans le temps et tracés.;Conforme – Gestion des tiers maîtrisée;ISO 27001 A.9.2.6
Un audit interne annuel confirme la conformité des droits admin.;Conforme – Vérification indépendante;ISO 27001 A.18.2.3
Les comptes techniques disposent de mots de passe uniques et complexes.;Conforme – Bonnes pratiques techniques;ISO 27001 A.10.1
Les sessions admin expirent après 15 minutes d’inactivité.;Conforme – Sécurité renforcée;ISO 27001 A.9.4.2
La MFA est obligatoire pour les connexions SaaS critiques.;Conforme – Contrôle fort;ISO 27001 A.9.4.2
Tous les droits sont tracés dans un référentiel central mis à jour en temps réel.;Conforme – Traçabilité complète;ISO 27001 A.9.2.6
Les comptes d’urgence nécessitent une approbation managériale préalable.;Conforme – Gouvernance renforcée;ISO 27001 A.9.2.6
Les droits à privilèges sont approuvés par un comité de sécurité.;Conforme – Gouvernance de haut niveau;ISO 27001 A.9.1.2
Les revues d’accès sont semestrielles et couvrent toutes les applications.;Conforme – Gouvernance globale;ISO 27001 A.9.2.5
Les utilisateurs reçoivent des droits limités selon leur fonction.;Conforme – Principe du moindre privilège;ISO 27001 A.9.1.2
Les comptes génériques ont été supprimés des environnements sensibles.;Conforme – Responsabilité individuelle;ISO 27001 A.9.2.3
Les demandes d’accès sont validées dans un outil avec piste d’audit complète.;Conforme – Traçabilité numérique;ISO 27001 A.9.2.1
Les comptes inactifs sont désactivés automatiquement après 45 jours.;Conforme – Contrôle préventif;ISO 27001 A.9.2.6
Les logs d’accès sont analysés chaque mois par l’équipe sécurité.;Conforme – Suivi régulier;ISO 27001 A.12.4.1
Chaque création de compte est approuvée par le responsable métier.;Conforme – Processus d’autorisation;ISO 27001 A.9.2.1
Les mots de passe sont hachés et salés avec un algorithme robuste.;Conforme – Stockage sécurisé;ISO 27001 A.10.1
Les comptes d’urgence sont désactivés automatiquement après usage.;Conforme – Contrôle compensatoire;ISO 27001 A.9.2.6
Les utilisateurs métiers possèdent des droits admin non justifiés.;Non conforme – Excès de privilèges;ISO 27001 A.9.1.2
Les comptes d’anciens prestataires sont toujours actifs.;Non conforme – Risque tiers;ISO 27001 A.9.2.6
Aucun audit des habilitations n’est réalisé.;Non conforme – Gouvernance absente;ISO 27001 A.18.2.3
Les sessions utilisateurs restent ouvertes indéfiniment.;Non conforme – Absence de sécurité de session;ISO 27001 A.9.4.2
Les identifiants par défaut des équipements réseau sont encore valides.;Non conforme – Vulnérabilité critique;ISO 27001 A.9.2.4
Les comptes admin sont partagés entre plusieurs personnes.;Non conforme – Absence de responsabilité individuelle;ISO 27001 A.9.2.3
Aucun verrouillage après tentatives échouées n’est activé.;Non conforme – Risque d’attaque brute force;ISO 27001 A.9.4.3 / NIST AC-7
Les logs d’accès ne sont jamais consultés.;Non conforme – Absence de suivi;ISO 27001 A.12.4.1
Les comptes d’urgence sont utilisés sans justification.;Non conforme – Contrôle inexistant;ISO 27001 A.9.2.6
Les comptes de test en production possèdent des droits étendus.;Non conforme – Risque de compromission;ISO 27001 A.9.2.6
Les utilisateurs changent rarement leurs mots de passe.;Non conforme – Politique absente;ISO 27001 A.9.4.3
Aucun processus de suppression des comptes inactifs n’est appliqué.;Non conforme – Risque de comptes orphelins;ISO 27001 A.9.2.6
Les prestataires externes conservent leurs accès après départ.;Non conforme – Risque de compromission;ISO 27001 A.9.2.6
Les droits admin sont accordés par défaut à la création des comptes.;Non conforme – Excès de privilèges;ISO 27001 A.9.1.2
Aucun registre central des habilitations n’est maintenu.;Non conforme – Absence de traçabilité;ISO 27001 A.9.2.6
Les comptes techniques partagent le même mot de passe.;Non conforme – Vulnérabilité majeure;ISO 27001 A.10.1
Les recertifications ne couvrent que certaines applications.;Non conforme – Gouvernance incomplète;ISO 27001 A.9.2.5
Les sessions admin ne nécessitent pas de MFA.;Non conforme – Authentification faible;ISO 27001 A.9.4.2
Aucun suivi n’est assuré sur les comptes génériques.;Non conforme – Absence de gouvernance;ISO 27001 A.9.2.3
Les droits des utilisateurs ne sont jamais revus.;Non conforme – Absence de gouvernance;ISO 27001 A.9.2.5
Les mots de passe sont stockés en clair dans la base de données.;Non conforme – Failles critiques;ISO 27001 A.10.1
Les comptes utilisateurs sont créés sans validation.;Non conforme – Absence d’autorisation;ISO 27001 A.9.2.1
Les logs d’accès ne sont pas centralisés.;Non conforme – Contrôle absent;ISO 27001 A.12.4.1
Les comptes inactifs depuis un an restent actifs.;Non conforme – Risque élevé;ISO 27001 A.9.2.6
Les droits admin ne sont jamais justifiés ni documentés.;Non conforme – Absence de justification;ISO 27001 A.9.1.2
Les sessions utilisateurs n’expirent pas.;Non conforme – Paramétrage absent;ISO 27001 A.9.4.2
Les recertifications sont effectuées mais seulement sur les comptes métiers.;Partiellement conforme – Couverture limitée;ISO 27001 A.9.2.5
Les comptes inactifs sont désactivés après 120 jours.;Partiellement conforme – Seuil trop long;ISO 27001 A.9.2.6
Les demandes d’accès sont validées mais rarement tracées.;Partiellement conforme – Traçabilité faible;ISO 27001 A.9.2.1
Les mots de passe sont robustes mais changés seulement tous les 180 jours.;Partiellement conforme – Politique faible;ISO 27001 A.9.4.3
Les sessions expirent après 30 minutes au lieu de 15.;Partiellement conforme – Paramétrage laxiste;ISO 27001 A.9.4.2
Les comptes techniques sont suivis mais non limités en droits.;Partiellement conforme – Gouvernance incomplète;ISO 27001 A.9.2.3
Les logs d’accès sont générés mais exploités seulement en cas d’incident.;Partiellement conforme – Contrôle réactif;ISO 27001 A.12.4.1
Les prestataires sont désactivés mais parfois avec retard.;Partiellement conforme – Gouvernance imparfaite;ISO 27001 A.9.2.6
La MFA est activée pour les administrateurs mais pas pour les utilisateurs métiers.;Partiellement conforme – Sécurité restreinte;ISO 27001 A.9.4.2
Les revues d’accès sont faites mais sans validation managériale.;Partiellement conforme – Gouvernance faible;ISO 27001 A.9.2.5
Les comptes d’urgence sont fermés mais parfois plusieurs jours après usage.;Partiellement conforme – Révocation imparfaite;ISO 27001 A.9.2.6
Les demandes d’accès sont tracées mais validées a posteriori.;Partiellement conforme – Processus incomplet;ISO 27001 A.9.2.1
Les mots de passe sont hachés mais avec un algorithme obsolète.;Partiellement conforme – Sécurité affaiblie;ISO 27001 A.10.1
Les revues de droits annuelles ne couvrent pas les prestataires.;Partiellement conforme – Gouvernance partielle;ISO 27001 A.9.2.5
Les comptes inactifs sont identifiés mais désactivés manuellement.;Partiellement conforme – Procédure lente;ISO 27001 A.9.2.6
Les logs d’accès sont conservés mais jamais corrélés avec d’autres événements.;Partiellement conforme – Contrôle limité;ISO 27001 A.12.4.1
Les droits admin sont revus mais sans documentation formelle.;Partiellement conforme – Gouvernance incomplète;ISO 27001 A.9.2.5
Les sessions utilisateurs expirent après 60 minutes.;Partiellement conforme – Paramétrage permissif;ISO 27001 A.9.4.2
Les comptes techniques sont documentés mais partagés par plusieurs équipes.;Partiellement conforme – Gouvernance affaiblie;ISO 27001 A.9.2.3
Les membres des groupes Active Directory sont revus chaque trimestre.;Conforme – Revue des groupes utilisateurs;ISO 27001 A.9.2.5
Les attributions de droits via groupes AD sont documentées et validées.;Conforme – Gouvernance indirecte;ISO 27001 A.9.2.1
Un processus automatique retire les droits obsolètes lors d’un changement de poste.;Conforme – Gouvernance JML complète;ISO 27001 A.9.2.6
Les clés API sont régénérées automatiquement tous les 90 jours.;Conforme – Rotation sécurisée;NIST IA-5 f
Les comptes de service non interactifs utilisent des mots de passe stockés dans un coffre-fort.;Conforme – Gestion sécurisée;ISO 27001 A.9.2.3
Les accès SSO sont protégés par MFA via l’IdP.;Conforme – Authentification centralisée;ISO 27001 A.9.4.2 / NIST IA-2
Les preuves d’approbation des accès sont conservées 7 ans.;Conforme – Exigence réglementaire;SOX 404
Les boîtes mail partagées sont attribuées nominativement et recertifiées.;Conforme – Gouvernance messagerie;ISO 27001 A.9.2.3
L’accès aux applications SaaS se fait via un IdP unique avec logs centralisés.;Conforme – Gouvernance SaaS;ISO 27001 A.9.2.6
Les tokens OAuth sont limités en durée et surveillés.;Conforme – Sécurité des API;NIST IA-5 f
Aucun suivi n’est effectué sur les membres des groupes Active Directory.;Non conforme – Risque d’excès de privilèges;ISO 27001 A.9.2.5
Les utilisateurs conservent leurs anciens droits après un changement de poste.;Non conforme – Absence de processus mover;ISO 27001 A.9.2.6
Les clés API expirées restent actives dans les systèmes.;Non conforme – Risque de compromission;NIST IA-5 f
Les comptes de service permettent des connexions interactives.;Non conforme – Risque majeur;ISO 27001 A.9.2.3
L’accès aux applications SaaS se fait sans MFA.;Non conforme – Contrôle absent;ISO 27001 A.9.4.2
Aucune conservation des preuves d’approbation n’est prévue.;Non conforme – Non-conformité réglementaire;SOX 404
Les boîtes partagées sont accessibles par mot de passe générique.;Non conforme – Absence de responsabilité;ISO 27001 A.9.2.3
Les tokens OAuth n’expirent pas et sont stockés en clair.;Non conforme – Failles critiques;NIST IA-5
Les sessions SSO ne sont pas limitées en durée.;Non conforme – Risque de session persistante;ISO 27001 A.9.4.2
Les utilisateurs peuvent rejoindre des groupes AD sans validation.;Non conforme – Absence de gouvernance;ISO 27001 A.9.2.1
Les revues des groupes AD sont faites mais seulement une fois tous les 2 ans.;Partiellement conforme – Fréquence insuffisante;ISO 27001 A.9.2.5
Les movers voient leurs nouveaux droits appliqués mais conservent les anciens.;Partiellement conforme – Gouvernance incomplète;ISO 27001 A.9.2.6
Les clés API sont changées tous les 12 mois.;Partiellement conforme – Rotation trop faible;NIST IA-5
Les comptes de service sont documentés mais sans limitation stricte.;Partiellement conforme – Gouvernance insuffisante;ISO 27001 A.9.2.3
La MFA est activée pour le SSO mais pas pour toutes les applis SaaS.;Partiellement conforme – Sécurité incomplète;ISO 27001 A.9.4.2
Les preuves d’approbation sont conservées mais sans durée formalisée.;Partiellement conforme – Gouvernance lacunaire;SOX 404
Les boîtes partagées sont attribuées mais rarement recertifiées.;Partiellement conforme – Processus incomplet;ISO 27001 A.9.2.3
Les tokens OAuth expirent mais avec une durée trop longue (1 an).;Partiellement conforme – Sécurité affaiblie;NIST IA-5
Les sessions SSO expirent mais après 8h au lieu de 30 min.;Partiellement conforme – Paramétrage laxiste;ISO 27001 A.9.4.2
Les logs SSO existent mais ne sont pas corrélés avec les logs applicatifs.;Partiellement conforme – Traçabilité partielle;ISO 27001 A.12.4.1
Les comptes génériques d’application sont suivis mais non limités en usage.;Partiellement conforme – Gouvernance faible;ISO 27001 A.9.2.3
Les utilisateurs conservent parfois des accès SaaS après départ.;Non conforme – Risque tiers;ISO 27001 A.9.2.6
Les groupes AD incluent encore des utilisateurs inactifs.;Non conforme – Risque d’accès non autorisé;ISO 27001 A.9.2.5
Les clés API sont stockées dans du code source non sécurisé.;Non conforme – Risque de fuite;NIST IA-5
Les tokens OAuth ne sont pas révoqués après désactivation du compte.;Non conforme – Risque de persistance d’accès;ISO 27001 A.9.2.6
Les comptes de service ne sont pas recertifiés.;Non conforme – Absence de revue;ISO 27001 A.9.2.3
Aucune piste d’audit n’existe sur les sessions SSO.;Non conforme – Absence de traçabilité;ISO 27001 A.12.4.1
Les movers voient leurs droits corrigés mais avec délai d’une semaine.;Partiellement conforme – Gouvernance tardive;ISO 27001 A.9.2.6
Les boîtes partagées sont revues mais uniquement une fois par an.;Partiellement conforme – Gouvernance limitée;ISO 27001 A.9.2.3
Les preuves d’approbation sont stockées mais sans contrôle d’intégrité.;Partiellement conforme – Gouvernance faible;SOX 404
Les sessions SSO expirent mais seulement après 12h.;Partiellement conforme – Paramétrage trop permissif;ISO 27001 A.9.4.2
Les tokens OAuth sont révoqués manuellement, parfois avec retard.;Partiellement conforme – Gouvernance imparfaite;NIST IA-5
Les droits via groupes AD sont documentés mais pas toujours validés.;Partiellement conforme – Gouvernance partielle;ISO 27001 A.9.2.1
Les utilisateurs conservent parfois des droits SaaS après mobilité interne.;Partiellement conforme – Gouvernance incomplète;ISO 27001 A.9.2.6
Les comptes de service sont utilisés pour des tâches non prévues.;Non conforme – Excès d’usage;ISO 27001 A.9.2.3
Les clés API sont partagées entre plusieurs équipes.;Non conforme – Absence de responsabilité;NIST IA-5
Les tokens OAuth sont générés sans limite de durée.;Non conforme – Risque de compromission;NIST IA-5
Les sessions SSO ne sont jamais déconnectées automatiquement.;Non conforme – Risque de session persistante;ISO 27001 A.9.4.2
Les movers conservent des droits sensibles après changement de poste.;Non conforme – Risque de privilèges excessifs;ISO 27001 A.9.2.6
Les boîtes partagées n’ont jamais été recertifiées.;Non conforme – Absence de revue;ISO 27001 A.9.2.3
Les preuves d’approbation ne sont pas horodatées.;Non conforme – Gouvernance défaillante;SOX 404
Les utilisateurs rejoignent des groupes AD sans piste d’audit.;Non conforme – Absence de traçabilité;ISO 27001 A.9.2.1
Les comptes SaaS restent actifs après résiliation du contrat client.;Non conforme – Risque externe;ISO 27001 A.9.2.6
Les sessions SSO expirent mais après 4h, sans option de configuration.;Partiellement conforme – Paramétrage incomplet;ISO 27001 A.9.4.2
Les preuves d’approbation sont conservées mais non accessibles facilement.;Partiellement conforme – Gouvernance lacunaire;SOX 404
Les groupes AD sont revus mais uniquement pour certains OU (organizational units).;Partiellement conforme – Gouvernance incomplète;ISO 27001 A.9.2.5
Les clés API sont renouvelées manuellement, parfois avec retard.;Partiellement conforme – Gouvernance imparfaite;NIST IA-5
Les tokens OAuth sont configurés pour expirer mais sans rotation automatique.;Partiellement conforme – Sécurité limitée;NIST IA-5
Les comptes de service sont désactivés mais parfois après plusieurs mois.;Partiellement conforme – Gouvernance tardive;ISO 27001 A.9.2.6
Les movers voient leurs droits adaptés mais pas validés par les managers.;Partiellement conforme – Gouvernance partielle;ISO 27001 A.9.2.6
Les droits d’accès sont vérifiés tous les trimestres par l’équipe sécurité.;Conforme – Bonnes pratiques;ISO 27001 A.9.2.5 / COBIT DSS05
Chaque création de compte est validée par un responsable hiérarchique.;Conforme – Contrôle d’approbation;ISO 27001 A.9.2.1 / NIST AC-2 b
Les accès administrateurs sont attribués de manière nominative et suivis.;Conforme – Responsabilité individuelle;ISO 27001 A.9.2.3 / NIST AC-6
Les comptes inactifs sont automatiquement désactivés après 60 jours.;Conforme – Gestion proactive;ISO 27001 A.9.2.6 / NIST AC-2 h
Une MFA est exigée pour toutes les connexions à distance.;Conforme – Sécurité renforcée;ISO 27001 A.9.4.2 / NIST IA-2
La suppression des comptes intervient immédiatement après le départ d’un collaborateur.;Conforme – Processus réactif;ISO 27001 A.9.2.6 / SOX 404
Un registre des droits d’accès est tenu à jour en temps réel.;Conforme – Traçabilité;ISO 27001 A.9.2.6 / COBIT DSS05
L’usage de comptes génériques est interdit dans l’organisation.;Conforme – Responsabilisation;ISO 27001 A.9.2.3 / NIST AC-2
Les clés API sont stockées dans un coffre-fort numérique.;Conforme – Gestion sécurisée;NIST IA-5 f
Les prestataires voient leurs droits révoqués dès la fin du contrat.;Conforme – Gouvernance tiers;ISO 27001 A.9.2.6 / COBIT DSS05
Les utilisateurs doivent justifier chaque demande d’accès critique.;Conforme – Justification obligatoire;ISO 27001 A.9.2.1
La révision des groupes Active Directory est effectuée chaque trimestre.;Conforme – Revue régulière;ISO 27001 A.9.2.5
Les comptes de service sont associés à des tâches précises et limitées.;Conforme – Bonne pratique IT;ISO 27001 A.9.2.3
Tous les accès sont tracés et horodatés dans des journaux centralisés.;Conforme – Traçabilité complète;ISO 27001 A.12.4.1
Un contrôle d’accès physique est en place pour les salles serveurs.;Conforme – Contrôle physique;ISO 27001 A.11.1.1 / NIST PE-3
Les accès aux applications SaaS passent par un IdP sécurisé.;Conforme – Gouvernance SaaS;ISO 27001 A.9.2.6
Les permissions sont accordées selon le principe du moindre privilège.;Conforme – Principe de sécurité;ISO 27001 A.9.1.2 / NIST AC-6
Les tokens OAuth expirent automatiquement après 30 minutes.;Conforme – Sécurité des API;NIST IA-5
Une revue indépendante des droits est réalisée par l’équipe d’audit interne.;Conforme – Gouvernance efficace;ISO 27001 A.9.2.5
Les accès temporaires d’urgence sont supprimés dès la fin de l’intervention.;Conforme – Contrôle compensatoire;ISO 27001 A.9.2.6 / NIST AC-2 d
Les comptes dormants sont systématiquement désactivés après détection.;Conforme – Contrôle préventif;ISO 27001 A.9.2.6 / NIST AC-2 h
Les sessions inactives sont coupées automatiquement après 15 minutes.;Conforme – Bonnes pratiques de session;ISO 27001 A.9.4.2
Chaque création de compte nécessite une double validation.;Conforme – Sécurité renforcée;ISO 27001 A.9.2.1
Les utilisateurs doivent renouveler leur mot de passe tous les 90 jours.;Conforme – Bonnes pratiques de mot de passe;ISO 27001 A.9.4.3 / NIST IA-5
Les logs d’accès sont analysés mensuellement par l’équipe sécurité.;Conforme – Traçabilité régulière;ISO 27001 A.12.4.1
Les boîtes partagées sont attribuées nominativement et recertifiées.;Conforme – Responsabilisation;ISO 27001 A.9.2.3
Les clés SSH sont renouvelées tous les 6 mois.;Conforme – Gestion sécurisée;NIST IA-5
Un processus clair de demande d’accès est disponible pour tous.;Conforme – Gouvernance transparente;ISO 27001 A.9.2.1
L’authentification biométrique est activée pour les accès critiques.;Conforme – Sécurité avancée;ISO 27001 A.9.4.2
Les droits d’accès aux applications critiques sont revus semestriellement.;Conforme – Bonnes pratiques;ISO 27001 A.9.2.5
Les comptes orphelins sont détectés et supprimés sous 24 heures.;Conforme – Réactivité;ISO 27001 A.9.2.6
Les comptes à privilèges nécessitent un enregistrement vidéo des sessions.;Conforme – Contrôle renforcé;ISO 27001 A.12.4.1
La création des droits est intégrée dans un workflow automatisé.;Conforme – Gouvernance automatisée;ISO 27001 A.9.2.1
La gestion des accès suit une matrice de responsabilités (RACI).;Conforme – Gouvernance claire;COBIT DSS05
Les comptes de test sont supprimés après chaque projet.;Conforme – Hygiène IT;ISO 27001 A.9.2.6
Un inventaire des utilisateurs est tenu à jour en continu.;Conforme – Suivi complet;ISO 27001 A.9.2.6
Les certificats expirés sont automatiquement révoqués.;Conforme – Gestion sécurisée;ISO 27001 A.10.1
Un comité valide chaque accès exceptionnel.;Conforme – Gouvernance renforcée;ISO 27001 A.9.2.1
Les accès aux bases de données sont limités aux administrateurs autorisés.;Conforme – Bonnes pratiques;ISO 27001 A.9.1.2
Un système PAM est déployé pour gérer les accès privilégiés.;Conforme – Gestion des privilèges;ISO 27001 A.9.2.3
Les preuves d’approbation des accès sont archivées 7 ans.;Conforme – Conformité réglementaire;SOX 404
Les utilisateurs reçoivent une notification lors de tout changement de droits.;Conforme – Transparence;ISO 27001 A.9.2.6
L’accès VPN requiert une authentification forte.;Conforme – Sécurité renforcée;ISO 27001 A.9.4.2
Les accès SaaS sont gérés par l’IdP d’entreprise.;Conforme – Gouvernance SaaS;ISO 27001 A.9.2.6
Les employés ne peuvent pas créer de comptes locaux.;Conforme – Sécurité organisationnelle;ISO 27001 A.9.2.1
Les droits hérités sont clairement documentés et validés.;Conforme – Gouvernance documentaire;ISO 27001 A.9.2.6
Les revues d’accès sont tracées et conservées dans les archives.;Conforme – Traçabilité;ISO 27001 A.12.4.1
Les comptes de service n’ont pas de privilèges d’administration.;Conforme – Principe du moindre privilège;ISO 27001 A.9.2.3
Les logs d’authentification sont corrélés avec le SIEM.;Conforme – Supervision efficace;ISO 27001 A.12.4.1
La révocation des accès est déclenchée automatiquement par le workflow RH.;Conforme – Gouvernance automatisée;ISO 27001 A.9.2.6
Les accès cloud sont gérés de manière centralisée.;Conforme – Bonnes pratiques cloud;ISO 27001 A.9.2.6
Les tentatives d’accès échouées sont limitées à 5 avant blocage.;Conforme – Contrôle de verrouillage;ISO 27001 A.9.4.3 / NIST AC-7
Les utilisateurs doivent justifier les accès exceptionnels.;Conforme – Gouvernance stricte;ISO 27001 A.9.2.1
Les groupes AD critiques sont revus mensuellement.;Conforme – Revue renforcée;ISO 27001 A.9.2.5
Les sessions RDP administrateurs sont enregistrées.;Conforme – Contrôle des privilèges;ISO 27001 A.12.4.1
Les accès sont définis par rôle métier (RBAC).;Conforme – Gouvernance par rôle;ISO 27001 A.9.1.2
Les comptes invités sont désactivés après 30 jours.;Conforme – Gouvernance stricte;ISO 27001 A.9.2.6
Les privilèges élevés nécessitent une approbation multi-niveaux.;Conforme – Gouvernance renforcée;ISO 27001 A.9.2.1
Les comptes d’application sont protégés par rotation automatique de mot de passe.;Conforme – Gestion sécurisée;ISO 27001 A.9.2.3
Les droits sur les fichiers sensibles sont revus trimestriellement.;Conforme – Gouvernance documentaire;ISO 27001 A.9.2.6
L’IdP central gère l’ensemble des accès SaaS.;Conforme – Gouvernance SaaS;ISO 27001 A.9.2.6
Les connexions VPN doivent utiliser un poste géré.;Conforme – Contrôle technique;NIST AC-17
Les preuves d’accès sont disponibles pour les audits externes.;Conforme – Transparence;SOX 404
